Resumen,Clave de incidencia,ID de la incidencia,Tipo de Incidencia,Estado,Clave del proyecto,Nombre del proyecto,Tipo de proyecto,Responsable del proyecto,ID del responsable del proyecto,Descripción del proyecto,Prioridad,Resolución,Persona asignada,ID de la persona asignada,Informador,ID del informador,Creador,ID del creador,Creada,Actualizada,Vista por Última Vez,Resuelta,Fecha de vencimiento,Votos,Descripción,Entorno,Interesados,ID de los interesados,Estimación original,Trabajo restante estimado,Tiempo Trabajado,Relación de trabajo,Σ Estimación original,Σ Trabajo restante estimado,Σ Tiempo empleado,Nivel de Seguridad,Adjunto,Adjunto,Adjunto,Campo personalizado (Actual end),Campo personalizado (Actual start),Campo personalizado (Aprobaciones),Campo personalizado (Change reason),Campo personalizado (Change risk),Campo personalizado (Change type),Campo personalizado (Epic Color),Campo personalizado (Epic Name),Campo personalizado (Epic Status),Campo personalizado (Formularios abiertos),Campo personalizado (Formularios bloqueados),Campo personalizado (Formularios enviados),Campo personalizado (Impact),Campo personalizado (Issue color),Campo personalizado (Metas),Campo personalizado (Project overview key),Campo personalizado (Project overview status),Campo personalizado (Rank),Campo personalizado (Request Type),Campo personalizado (Sentiment),Campo personalizado (Start date),Campo personalizado (Story Points),Campo personalizado (Story point estimate),Campo personalizado (Target end),Campo personalizado (Target start),Campo personalizado (Team),Campo personalizado (Total de formularios),Campo personalizado (Vulnerability),Campo personalizado ([CHART] Date of First Response),Campo personalizado ([CHART] Time in Status),Campo personalizado (development),Campo personalizado (Áreas de enfoque),Categoría de estado,Categoría de estado cambiada
"El temporizador al finalizar los 10 minutos de tolerancia en el panel automóvil reservado, no inicia el tiempo de uso compartido del vehículo",JMU-25,10088,Error,Tareas por hacer,JMU,Jacqueline Marcue UrbanRoutes,software,Jacqueline Marcué,712020:b4adee91-ba6a-4136-9e5f-fd90cee56a0a,,Medium,,,,Jacqueline Marcué,712020:b4adee91-ba6a-4136-9e5f-fd90cee56a0a,Jacqueline Marcué,712020:b4adee91-ba6a-4136-9e5f-fd90cee56a0a,03/abr/26 6:06 PM,03/abr/26 6:14 PM,06/abr/26 4:54 PM,,,0,"Pasos para Reproducir el error

1 Abrir Urban Routes

2 Ingresar una dirección en el campo desde “East 2nd street, 601”

3 Ingresar una dirección en el campo hasta “1300 1st st”

4 Selecciónar botón “Pedir taxi”

5 Seleccionar el Modo de Transporte “Personal”

6 Seleccionar el tipo de transporte “Automóvil compartido”

 7Hacer clic en el botón “Reservar”

8 Seleccionar una tarifa

9 Ingresar una Licencia de Conducir válida

10 Pedir reservar un automóvil

Resultado Actual: El temporizador de 10 minutos al terminar se queda en 00:01

Resultado esperado:   Inicie el tiempo de vehiculo comparitdo",Navegador: Google Chrome Versión 146.0.7680.178 (Build oficial) (64 bits) 800 x 600 pixceles,Jacqueline Marcué,712020:b4adee91-ba6a-4136-9e5f-fd90cee56a0a,,,,,,,,,03/abr/26 6:14 PM;63febf6b-b525-4a7d-b446-e7630298f01c;Grabación de pantalla 2026-04-03 181350.mp4;https://jmarcueas3urban.atlassian.net/rest/api/3/attachment/content/10102,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@33222f68,,,,,,,,,,,,,,,0|i0005b:,,,,,,,,,,,,,,,Por hacer,03/abr/26 6:06 PM
Al cancelar el campo desde con todos los campos obligatorios llenos en Urban Routes el softwear me elimina toda la información y me regresa a la pantalla incial,JMU-24,10087,Error,Tareas por hacer,JMU,Jacqueline Marcue UrbanRoutes,software,Jacqueline Marcué,712020:b4adee91-ba6a-4136-9e5f-fd90cee56a0a,,Medium,,,,Jacqueline Marcué,712020:b4adee91-ba6a-4136-9e5f-fd90cee56a0a,Jacqueline Marcué,712020:b4adee91-ba6a-4136-9e5f-fd90cee56a0a,03/abr/26 5:27 PM,03/abr/26 5:33 PM,06/abr/26 4:54 PM,,,0,"Pasos para Reproducir el error

1 Abrir Urban Routes

2 Ingresar una dirección en el campo desde “East 2nd street, 601”

3 Ingresar una dirección en el campo hasta “1300 1st st”

4 Seleccionar botón “Pedir taxi”

5 Seleccionar el Modo de Transporte “Personal”

6 Seleccionar el tipo de transporte “Automóvil compartido”

7 Hacer clic en el botón “Reservar”

8 Agregar una Licencia de conducir válida (Nombre: Sam, Apellido: Neruda, 23061999; 0101999999)

9 Agregar un Método de pago válido (Num de tarjeta 01 01 111111, código 11)

10 Cancelar el campo “Desde” o “Hasta”

Resultado Actual: La interfaz me regresa a la pantalla de inicio, se borra la ruta, el mapa desecala el zoom, todos los campos se borran.

Resultado Esperado: La interfaz se mantenga en la pantalla actual, el botón de reserva tiene el mensaje “Agregar direcciones y reservar”",FireFox Versión 149.0 (64 bits) 1920 x 1080 pixceles,Jacqueline Marcué,712020:b4adee91-ba6a-4136-9e5f-fd90cee56a0a,,,,,,,,,03/abr/26 5:33 PM;63febf6b-b525-4a7d-b446-e7630298f01c;Captura de pantalla 2026-04-03 173239.png;https://jmarcueas3urban.atlassian.net/rest/api/3/attachment/content/10101,03/abr/26 5:32 PM;63febf6b-b525-4a7d-b446-e7630298f01c;Grabación de pantalla 2026-04-03 172508 (26578bce-1f60-4e2a-8674-f0814d837b1f).mp4;https://jmarcueas3urban.atlassian.net/rest/api/3/attachment/content/10100,03/abr/26 5:32 PM;63febf6b-b525-4a7d-b446-e7630298f01c;Grabación de pantalla 2026-04-03 172508.mp4;https://jmarcueas3urban.atlassian.net/rest/api/3/attachment/content/10099,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@687bc389,,,,,,,,,,,,,,,0|i00053:,,,,,,,,,,,,,,,Por hacer,03/abr/26 5:27 PM
"Al hace clic en el botón ""Reservar"" sin método de pago en el panel de urban routes, el automóvil es reservado",JMU-23,10086,Error,Tareas por hacer,JMU,Jacqueline Marcue UrbanRoutes,software,Jacqueline Marcué,712020:b4adee91-ba6a-4136-9e5f-fd90cee56a0a,,Medium,,,,Jacqueline Marcué,712020:b4adee91-ba6a-4136-9e5f-fd90cee56a0a,Jacqueline Marcué,712020:b4adee91-ba6a-4136-9e5f-fd90cee56a0a,03/abr/26 5:14 PM,06/abr/26 4:54 PM,06/abr/26 4:54 PM,,,0,"Pasos para Reproducir el error

1 Abrir Urban Routes

2 Ingresar una dirección en el campo desde “East 2nd street, 601”

3 Ingresar una dirección en el campo hasta “1300 1st st”

4 Seleccionar botón “Pedir taxi”

5 Seleccionar el Modo de Transporte “Personal”

6 Seleccionar el tipo de transporte “Automóvil compartido”

7 Hacer clic en el botón “Reservar”

8 Agregar una Licencia de conducir válida (Nombre: Sam, Apellido: Neruda, 23061999; 0101999999)

9 Hacer clic en botón de reserva al final del panel principal

Resultado Actual: Se reserva automóvil. Inicia el temporizador de 10:00 minutos y se despliega la información de la reserva.

Resultado Esperado: El botón debe mantenerse inactivo con el texto agrega método de pago y recerva, el recorrido es de … km y lo se hará en ____ minutos y oprimirlo no generar cambios",FireFox Versión 149.0 (64 bits) 1920 x 1080 pixceles,Jacqueline Marcué,712020:b4adee91-ba6a-4136-9e5f-fd90cee56a0a,,,,,,,,,03/abr/26 5:19 PM;63febf6b-b525-4a7d-b446-e7630298f01c;Captura de pantalla 2026-04-03 171212.png;https://jmarcueas3urban.atlassian.net/rest/api/3/attachment/content/10097,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@20a8b576,,,,,,,,,,,,,,,0|i0004v:,,,,,,,,,,,,,,,Por hacer,03/abr/26 5:14 PM
"Al cancelar el formulario de agregar licencia de conducir con el botón cancelar, se agrega una nueva licencia de conducir",JMU-22,10085,Error,Tareas por hacer,JMU,Jacqueline Marcue UrbanRoutes,software,Jacqueline Marcué,712020:b4adee91-ba6a-4136-9e5f-fd90cee56a0a,,Medium,,,,Jacqueline Marcué,712020:b4adee91-ba6a-4136-9e5f-fd90cee56a0a,Jacqueline Marcué,712020:b4adee91-ba6a-4136-9e5f-fd90cee56a0a,03/abr/26 4:29 PM,06/abr/26 4:53 PM,06/abr/26 4:53 PM,,,0,"Pasos para Reproducir el error

1 Abrir Urban Routes

2 Ingresar una dirección en el campo desde “East 2nd street, 601”

3 Ingresar una dirección en el campo hasta “1300 1st st”

4 Seleccionar botón “Pedir taxi”

5 Seleccionar el Modo de Transporte “Personal”

6 Seleccionar el tipo de transporte “Automóvil compartido”

7 Hacer clic en el botón “Reservar”

8 Seleccionar el campo “Agregar Licencia de Conducir”

9 Ingresar en el campo nombre y apellido 

10 hacer clic en cancelar

Resultado Actual: Se agrega una licencia de conducir nueva

Resultado Esperado: Cancelar el proceso y no agregar una licencia de conducir nueva",FireFox Versión 149.0 (64 bits) 1920 x 1080 pixceles,Jacqueline Marcué,712020:b4adee91-ba6a-4136-9e5f-fd90cee56a0a,,,,,,,,,03/abr/26 4:31 PM;63febf6b-b525-4a7d-b446-e7630298f01c;Grabación de pantalla 2026-04-03 162834.mp4;https://jmarcueas3urban.atlassian.net/rest/api/3/attachment/content/10096,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5381107d,,,,,,,,,,,,,,,0|i0004n:,,,,,,,,,,,,,,,Por hacer,03/abr/26 4:29 PM
"Al agregar una licencia válida en el panel izquierdo de urban routes, no inicia la aparición y conteo del temporizador",JMU-21,10084,Error,Tareas por hacer,JMU,Jacqueline Marcue UrbanRoutes,software,Jacqueline Marcué,712020:b4adee91-ba6a-4136-9e5f-fd90cee56a0a,,Medium,,,,Jacqueline Marcué,712020:b4adee91-ba6a-4136-9e5f-fd90cee56a0a,Jacqueline Marcué,712020:b4adee91-ba6a-4136-9e5f-fd90cee56a0a,03/abr/26 4:20 PM,06/abr/26 4:53 PM,06/abr/26 4:53 PM,,,0,"Pasos para Reproducir el error

1 Abrir Urban Routes

2 Ingresar una dirección en el campo desde “East 2nd street, 601”

3 Ingresar una dirección en el campo hasta “1300 1st st”

4 Seleccionar botón “Pedir taxi”

5 Seleccionar el Modo de Transporte “Personal”

6 Seleccionar el tipo de transporte “Automóvil compartido”

7 Hacer clic en el botón “Reservar”

8 Agregar una licencia de conducir con datos válidos en el formulario

9 Dar clic en Entendido en el Mensaje Emergente

Resultado Actual: El campo del panel principal de Urban Routes se apreca el texto “Licencia de Conducir”

Resultado Esperado: El campo de Licencia de conducir inicia un tiempo de validación ilustrado por un temporizador de 30 segundos",FireFox Versión 149.0 (64 bits) 1920 x 1080 pixceles,Jacqueline Marcué,712020:b4adee91-ba6a-4136-9e5f-fd90cee56a0a,,,,,,,,,03/abr/26 4:24 PM;63febf6b-b525-4a7d-b446-e7630298f01c;Grabación de pantalla 2026-04-03 162423.mp4;https://jmarcueas3urban.atlassian.net/rest/api/3/attachment/content/10095,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@171bf000,,,,,,,,,,,,,,,0|i0004f:,,,,,,,,,,,,,,,Por hacer,03/abr/26 4:20 PM
"Al ingresar apellido con guion en el formulario agregar licencia de conducir en el campo agregar apellido, se marca como entrada inválida",JMU-20,10083,Error,Tareas por hacer,JMU,Jacqueline Marcue UrbanRoutes,software,Jacqueline Marcué,712020:b4adee91-ba6a-4136-9e5f-fd90cee56a0a,,Medium,,,,Jacqueline Marcué,712020:b4adee91-ba6a-4136-9e5f-fd90cee56a0a,Jacqueline Marcué,712020:b4adee91-ba6a-4136-9e5f-fd90cee56a0a,03/abr/26 4:16 PM,06/abr/26 4:53 PM,06/abr/26 4:53 PM,,,0,"Pasos para Reproducir el error

1 Abrir Urban Routes

2 Ingresar una dirección en el campo desde “East 2nd street, 601”

3 Ingresar una dirección en el campo hasta “1300 1st st”

4 Seleccionar botón “Pedir taxi”

5 Seleccionar el Modo de Transporte “Personal”

6 Seleccionar el tipo de transporte “Automóvil compartido”

7 Hacer clic en el botón “Reservar”

8 Seleccionar el campo “Agregar Licencia de Conducir”

9 Ingresar en el campo Apellido un apellido con guion (Pablo Neruda-P)

Resultado Actual: El campo se resalta en rojo y aparece el mensaje de error “Introduce un nombre válido”

Resultado Esperado: El campo acepte la entrada como válida",FireFox Versión 149.0 (64 bits) 1920 x 1080 pixceles,Jacqueline Marcué,712020:b4adee91-ba6a-4136-9e5f-fd90cee56a0a,,,,,,,,,03/abr/26 4:18 PM;63febf6b-b525-4a7d-b446-e7630298f01c;Captura de pantalla 2026-04-03 144639.png;https://jmarcueas3urban.atlassian.net/rest/api/3/attachment/content/10094,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7d05e4c9,,,,,,,,,,,,,,,0|i00047:,,,,,,,,,,,,,,,Por hacer,03/abr/26 4:16 PM
"Al ingresar en nombre con guion en el campo nombre del formulario agregar licencia de conducir, la plataforma lo marca como inválido",JMU-19,10082,Error,Tareas por hacer,JMU,Jacqueline Marcue UrbanRoutes,software,Jacqueline Marcué,712020:b4adee91-ba6a-4136-9e5f-fd90cee56a0a,,Medium,,,,Jacqueline Marcué,712020:b4adee91-ba6a-4136-9e5f-fd90cee56a0a,Jacqueline Marcué,712020:b4adee91-ba6a-4136-9e5f-fd90cee56a0a,03/abr/26 4:11 PM,06/abr/26 4:53 PM,06/abr/26 4:53 PM,,,0,"Pasos para Reproducir el error

1 Abrir Urban Routes

2 Ingresar una dirección en el campo desde “East 2nd street, 601”

3 Ingresar una dirección en el campo hasta “1300 1st st”

4 Seleccionar botón “Pedir taxi”

5 Seleccionar el Modo de Transporte “Personal”

6 Seleccionar el tipo de transporte “Automóvil compartido”

7 Hacer clic en el botón “Reservar”

8 Seleccionar el campo “Agregar Licencia de Conducir”

9 Ingresar en el campo nombre un nombre con guion (Pablo Neruda-P)

Resultado Actual: El campo se resalta en rojo y aparece el mensaje de error “Introduce un nombre válido”

Resultado Esperado: El campo acepte la entrada como válida",FireFox Versión 149.0 (64 bits) 1920 x 1080 pixceles,Jacqueline Marcué,712020:b4adee91-ba6a-4136-9e5f-fd90cee56a0a,,,,,,,,,03/abr/26 4:15 PM;63febf6b-b525-4a7d-b446-e7630298f01c;Captura de pantalla 2026-04-03 144639.png;https://jmarcueas3urban.atlassian.net/rest/api/3/attachment/content/10093,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@662b222b,,,,,,,,,,,,,,,0|i0003z:,,,,,,,,,,,,,,,Por hacer,03/abr/26 4:11 PM
"Al agregar una tarjeta nueva en el panel método de pago, no se visualizan los cuatro últimos números de la tarjeta",JMU-18,10081,Error,Tareas por hacer,JMU,Jacqueline Marcue UrbanRoutes,software,Jacqueline Marcué,712020:b4adee91-ba6a-4136-9e5f-fd90cee56a0a,,Medium,,,,Jacqueline Marcué,712020:b4adee91-ba6a-4136-9e5f-fd90cee56a0a,Jacqueline Marcué,712020:b4adee91-ba6a-4136-9e5f-fd90cee56a0a,03/abr/26 3:59 PM,03/abr/26 4:03 PM,06/abr/26 4:52 PM,,,0,"Pasos para Reproducir el error

1 Abrir Urban Routes

2 Ingresar una dirección en el campo desde “East 2nd street, 601”

3 Ingresar una dirección en el campo hasta “1300 1st st”

4 Selecciónar botón “Pedir taxi”

5 Seleccionar el Modo de Transporte “Personal”

6 Seleccionar el tipo de transporte “Automóvil compartido”

7 Hacer clic en el botón “Reservar”

8 Seleccionar el campo “Método de Pago”

9 Seleccionar agregar tarjeta 

10 Completar el formulario de agregar una tarjeta con información válida

11 hacer clic en “Agregar Tarjeta”

Resultado Actual: La tarjeta se agrega con el nombre “Tarjeta” 

Resultado Esperado: La tarjeta se agrega con el nombre de los últimos 4 dígitos de la tarjeta","h2. Entorno

FireFox Versión 149.0 (64 bits) 1920 x 1080 pixceles",Jacqueline Marcué,712020:b4adee91-ba6a-4136-9e5f-fd90cee56a0a,,,,,,,,,03/abr/26 4:03 PM;63febf6b-b525-4a7d-b446-e7630298f01c;Captura de pantalla 2026-04-03 160213.png;https://jmarcueas3urban.atlassian.net/rest/api/3/attachment/content/10092,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1fbb7cb9,,,,,,,,,,,,,,,0|i0003r:,,,,,,,,,,,,,,,Por hacer,03/abr/26 3:59 PM
"Al ingresar una entrada con espacios en el campo numero de tarjeta del formulario de agregar tarjeta, no se quitan automáticamente",JMU-17,10080,Error,Tareas por hacer,JMU,Jacqueline Marcue UrbanRoutes,software,Jacqueline Marcué,712020:b4adee91-ba6a-4136-9e5f-fd90cee56a0a,,Medium,,,,Jacqueline Marcué,712020:b4adee91-ba6a-4136-9e5f-fd90cee56a0a,Jacqueline Marcué,712020:b4adee91-ba6a-4136-9e5f-fd90cee56a0a,03/abr/26 3:55 PM,03/abr/26 3:57 PM,06/abr/26 4:51 PM,,,0,"Pasos para Reproducir el error

1 Abrir Urban Routes

2 Ingresar una dirección en el campo desde “East 2nd street, 601”

3 Ingresar una dirección en el campo hasta “1300 1st st”

4 Selecciónar botón “Pedir taxi”

5 Seleccionar el Modo de Transporte “Personal”

6 Seleccionar el tipo de transporte “Automóvil compartido”

7 Hacer clic en el botón “Reservar”

8 Seleccionar el campo “Método de Pago”

9 Seleccionar agregar tarjeta

10 Ingresar en el campo “Número de tarjeta (no la tuya)” un elemento no válido con espacios (ej. “123 $% .#&a/(%”)

Resultado Actual: El campo acepta el contenido de la entrada, con espacios.

Resultado esperado: Modificar la entrada automáticamente para quitar los espacios",FireFox Versión 149.0 (64 bits) 1920 x 1080 pixceles,Jacqueline Marcué,712020:b4adee91-ba6a-4136-9e5f-fd90cee56a0a,,,,,,,,,03/abr/26 3:57 PM;63febf6b-b525-4a7d-b446-e7630298f01c;Captura de pantalla 2026-04-03 143341.png;https://jmarcueas3urban.atlassian.net/rest/api/3/attachment/content/10091,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5fe6b258,,,,,,,,,,,,,,,0|i0003j:,,,,,,,,,,,,,,,Por hacer,03/abr/26 3:55 PM
Al ingresar un valor el campo número de tarjeta en el formulario agregar tarjeta acepta más de 12 characteres,JMU-16,10079,Error,Tareas por hacer,JMU,Jacqueline Marcue UrbanRoutes,software,Jacqueline Marcué,712020:b4adee91-ba6a-4136-9e5f-fd90cee56a0a,,Medium,,,,Jacqueline Marcué,712020:b4adee91-ba6a-4136-9e5f-fd90cee56a0a,Jacqueline Marcué,712020:b4adee91-ba6a-4136-9e5f-fd90cee56a0a,03/abr/26 3:52 PM,03/abr/26 3:53 PM,06/abr/26 4:50 PM,,,0,"Pasos para Reproducir el error

1 Abrir Urban Routes

2 Ingresar una dirección en el campo desde “East 2nd street, 601”

3 Ingresar una dirección en el campo hasta “1300 1st st”

4 Selecciónar botón “Pedir taxi”

5 Seleccionar el Modo de Transporte “Personal”

6 Seleccionar el tipo de transporte “Automóvil compartido”

7 Hacer clic en el botón “Reservar”

8 Seleccionar el campo “Método de Pago”

9 Seleccionar agregar tarjeta

10 Ingresar en el campo “Número de tarjeta (no la tuya)” un elemento no válido (ej. “123$% .#&a/(%”)

Resultado Actual: El campo acepta el contenido de la entrada, más de 12 characteres.

Resultado esperado: No reconocer como válida la entrada.",FireFox Versión 149.0 (64 bits) 1920 x 1080 pixceles,Jacqueline Marcué,712020:b4adee91-ba6a-4136-9e5f-fd90cee56a0a,,,,,,,,,03/abr/26 3:53 PM;63febf6b-b525-4a7d-b446-e7630298f01c;Captura de pantalla 2026-04-03 143341.png;https://jmarcueas3urban.atlassian.net/rest/api/3/attachment/content/10089,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6c845dbc,,,,,,,,,,,,,,,0|i0003b:,,,,,,,,,,,,,,,Por hacer,03/abr/26 3:52 PM
